,2000m,2000m ave,1500m *5 ave,diff
0,6:20,1:35.0,1:39.2,0:04.2
1,6:25,1:36.2,1:40.5,0:04.2
2,6:30,1:37.5,1:41.8,0:04.3
3,6:35,1:38.8,1:43.1,0:04.4
4,6:40,1:40.0,1:44.4,0:04.4
5,6:45,1:41.2,1:45.7,0:04.5
6,6:50,1:42.5,1:47.0,0:04.5
7,6:55,1:43.8,1:48.3,0:04.6
8,7:00,1:45.0,1:49.6,0:04.6
9,7:05,1:46.2,1:50.9,0:04.7
10,7:10,1:47.5,1:52.2,0:04.7
11,7:15,1:48.8,1:53.5,0:04.8
12,7:20,1:50.0,1:54.9,0:04.9
13,7:25,1:51.2,1:56.2,0:04.9
14,7:30,1:52.5,1:57.5,0:05.0
15,7:35,1:53.8,1:58.8,0:05.0
16,7:40,1:55.0,2:00.1,0:05.1
17,7:45,1:56.2,2:01.4,0:05.1
18,7:50,1:57.5,2:02.7,0:05.2
19,7:55,1:58.8,2:04.0,0:05.2
20,8:00,2:00.0,2:05.3,0:05.3
21,8:05,2:01.2,2:06.6,0:05.3
22,8:10,2:02.5,2:07.9,0:05.4
23,8:15,2:03.8,2:09.2,0:05.5
24,8:20,2:05.0,2:10.5,0:05.5
25,8:25,2:06.2,2:11.8,0:05.6
26,8:30,2:07.5,2:13.1,0:05.6
