,2000m,3min *N ave,stop interval
0,6:20,1:35.0,1:37.9
1,6:25,1:36.2,1:39.1
2,6:30,1:37.5,1:40.4
3,6:35,1:38.8,1:41.7
4,6:40,1:40.0,1:43.0
5,6:45,1:41.2,1:44.3
6,6:50,1:42.5,1:45.6
7,6:55,1:43.8,1:46.9
8,7:00,1:45.0,1:48.2
9,7:05,1:46.2,1:49.4
10,7:10,1:47.5,1:50.7
11,7:15,1:48.8,1:52.0
12,7:20,1:50.0,1:53.3
13,7:25,1:51.2,1:54.6
14,7:30,1:52.5,1:55.9
15,7:35,1:53.8,1:57.2
16,7:40,1:55.0,1:58.5
17,7:45,1:56.2,1:59.7
18,7:50,1:57.5,2:01.0
19,7:55,1:58.8,2:02.3
20,8:00,2:00.0,2:03.6
21,8:05,2:01.2,2:04.9
22,8:10,2:02.5,2:06.2
23,8:15,2:03.8,2:07.5
24,8:20,2:05.0,2:08.8
25,8:25,2:06.2,2:10.0
26,8:30,2:07.5,2:11.3
