,2000m,2000m ave,4500m *2 ave,diff
0,7:30,1:52.5,2:00.3,0:07.8
1,7:31,1:52.8,2:00.5,0:07.8
2,7:32,1:53.0,2:00.8,0:07.8
3,7:33,1:53.2,2:01.1,0:07.8
4,7:34,1:53.5,2:01.3,0:07.8
5,7:35,1:53.8,2:01.6,0:07.8
6,7:36,1:54.0,2:01.9,0:07.9
7,7:37,1:54.2,2:02.1,0:07.9
8,7:38,1:54.5,2:02.4,0:07.9
9,7:39,1:54.8,2:02.7,0:07.9
10,7:40,1:55.0,2:02.9,0:07.9
11,7:41,1:55.2,2:03.2,0:07.9
12,7:42,1:55.5,2:03.5,0:08.0
13,7:43,1:55.8,2:03.7,0:08.0
14,7:44,1:56.0,2:04.0,0:08.0
15,7:45,1:56.2,2:04.3,0:08.0
16,7:46,1:56.5,2:04.5,0:08.0
17,7:47,1:56.8,2:04.8,0:08.0
18,7:48,1:57.0,2:05.1,0:08.1
19,7:49,1:57.2,2:05.3,0:08.1
20,7:50,1:57.5,2:05.6,0:08.1
21,7:51,1:57.8,2:05.9,0:08.1
22,7:52,1:58.0,2:06.1,0:08.1
23,7:53,1:58.2,2:06.4,0:08.1
24,7:54,1:58.5,2:06.7,0:08.2
25,7:55,1:58.8,2:06.9,0:08.2
26,7:56,1:59.0,2:07.2,0:08.2
27,7:57,1:59.2,2:07.5,0:08.2
28,7:58,1:59.5,2:07.7,0:08.2
29,7:59,1:59.8,2:08.0,0:08.3
30,8:00,2:00.0,2:08.3,0:08.3
31,8:01,2:00.2,2:08.5,0:08.3
32,8:02,2:00.5,2:08.8,0:08.3
33,8:03,2:00.8,2:09.1,0:08.3
34,8:04,2:01.0,2:09.3,0:08.3
35,8:05,2:01.2,2:09.6,0:08.4
36,8:06,2:01.5,2:09.9,0:08.4
37,8:07,2:01.8,2:10.1,0:08.4
38,8:08,2:02.0,2:10.4,0:08.4
39,8:09,2:02.2,2:10.7,0:08.4
40,8:10,2:02.5,2:10.9,0:08.4
41,8:11,2:02.8,2:11.2,0:08.5
42,8:12,2:03.0,2:11.5,0:08.5
43,8:13,2:03.2,2:11.7,0:08.5
44,8:14,2:03.5,2:12.0,0:08.5
45,8:15,2:03.8,2:12.3,0:08.5
46,8:16,2:04.0,2:12.5,0:08.5
47,8:17,2:04.2,2:12.8,0:08.6
48,8:18,2:04.5,2:13.1,0:08.6
49,8:19,2:04.8,2:13.3,0:08.6
50,8:20,2:05.0,2:13.6,0:08.6
