,2000m,2000m ave,60min ave med,60min ave max,60min ave min
0,6:00,1:30.0,1:43.4,1:41.4,1:44.4
1,6:01,1:30.2,1:43.7,1:41.6,1:44.7
2,6:02,1:30.5,1:43.9,1:41.9,1:45.0
3,6:03,1:30.8,1:44.2,1:42.2,1:45.3
4,6:04,1:31.0,1:44.5,1:42.5,1:45.6
5,6:05,1:31.2,1:44.8,1:42.8,1:45.9
6,6:06,1:31.5,1:45.1,1:43.1,1:46.2
7,6:07,1:31.8,1:45.4,1:43.3,1:46.5
8,6:08,1:32.0,1:45.7,1:43.6,1:46.8
9,6:09,1:32.2,1:46.0,1:43.9,1:47.0
10,6:10,1:32.5,1:46.2,1:44.2,1:47.3
11,6:11,1:32.8,1:46.5,1:44.5,1:47.6
12,6:12,1:33.0,1:46.8,1:44.7,1:47.9
13,6:13,1:33.2,1:47.1,1:45.0,1:48.2
14,6:14,1:33.5,1:47.4,1:45.3,1:48.5
15,6:15,1:33.8,1:47.7,1:45.6,1:48.8
16,6:16,1:34.0,1:48.0,1:45.9,1:49.1
17,6:17,1:34.2,1:48.3,1:46.1,1:49.4
18,6:18,1:34.5,1:48.5,1:46.4,1:49.7
19,6:19,1:34.8,1:48.8,1:46.7,1:49.9
20,6:20,1:35.0,1:49.1,1:47.0,1:50.2
21,6:21,1:35.2,1:49.4,1:47.3,1:50.5
22,6:22,1:35.5,1:49.7,1:47.6,1:50.8
23,6:23,1:35.8,1:50.0,1:47.8,1:51.1
24,6:24,1:36.0,1:50.3,1:48.1,1:51.4
25,6:25,1:36.2,1:50.5,1:48.4,1:51.7
26,6:26,1:36.5,1:50.8,1:48.7,1:52.0
27,6:27,1:36.8,1:51.1,1:49.0,1:52.3
28,6:28,1:37.0,1:51.4,1:49.2,1:52.6
29,6:29,1:37.2,1:51.7,1:49.5,1:52.8
30,6:30,1:37.5,1:52.0,1:49.8,1:53.1
31,6:31,1:37.8,1:52.3,1:50.1,1:53.4
32,6:32,1:38.0,1:52.6,1:50.4,1:53.7
33,6:33,1:38.2,1:52.8,1:50.7,1:54.0
34,6:34,1:38.5,1:53.1,1:50.9,1:54.3
35,6:35,1:38.8,1:53.4,1:51.2,1:54.6
36,6:36,1:39.0,1:53.7,1:51.5,1:54.9
37,6:37,1:39.2,1:54.0,1:51.8,1:55.2
38,6:38,1:39.5,1:54.3,1:52.1,1:55.5
39,6:39,1:39.8,1:54.6,1:52.3,1:55.7
40,6:40,1:40.0,1:54.9,1:52.6,1:56.0
41,6:41,1:40.2,1:55.1,1:52.9,1:56.3
42,6:42,1:40.5,1:55.4,1:53.2,1:56.6
43,6:43,1:40.8,1:55.7,1:53.5,1:56.9
44,6:44,1:41.0,1:56.0,1:53.8,1:57.2
45,6:45,1:41.2,1:56.3,1:54.0,1:57.5
46,6:46,1:41.5,1:56.6,1:54.3,1:57.8
47,6:47,1:41.8,1:56.9,1:54.6,1:58.1
48,6:48,1:42.0,1:57.2,1:54.9,1:58.4
49,6:49,1:42.2,1:57.4,1:55.2,1:58.7
50,6:50,1:42.5,1:57.7,1:55.4,1:58.9
51,6:51,1:42.8,1:58.0,1:55.7,1:59.2
52,6:52,1:43.0,1:58.3,1:56.0,1:59.5
