,target_time,950m,2000m,5000m,60min,80min
0,6:10,1:28.8,1:32.5,1:37.3,1:45.0,1:46.7
1,6:12,1:29.2,1:33.0,1:37.9,1:45.5,1:47.2
2,6:14,1:29.7,1:33.5,1:38.4,1:46.0,1:47.7
3,6:16,1:30.2,1:34.0,1:38.9,1:46.6,1:48.3
4,6:18,1:30.7,1:34.5,1:39.4,1:47.1,1:48.8
5,6:20,1:31.2,1:35.0,1:40.0,1:47.6,1:49.4
6,6:22,1:31.6,1:35.5,1:40.5,1:48.2,1:49.9
7,6:24,1:32.1,1:36.0,1:41.0,1:48.7,1:50.5
8,6:26,1:32.6,1:36.5,1:41.5,1:49.2,1:51.0
9,6:28,1:33.1,1:37.0,1:42.1,1:49.8,1:51.5
10,6:30,1:33.5,1:37.5,1:42.6,1:50.3,1:52.1
11,6:32,1:34.0,1:38.0,1:43.1,1:50.8,1:52.6
12,6:34,1:34.5,1:38.5,1:43.6,1:51.4,1:53.2
13,6:36,1:35.0,1:39.0,1:44.2,1:51.9,1:53.7
14,6:38,1:35.5,1:39.5,1:44.7,1:52.4,1:54.3
15,6:40,1:35.9,1:40.0,1:45.2,1:53.0,1:54.8
16,6:42,1:36.4,1:40.5,1:45.7,1:53.5,1:55.3
17,6:44,1:36.9,1:41.0,1:46.3,1:54.0,1:55.9
18,6:46,1:37.4,1:41.5,1:46.8,1:54.6,1:56.4
19,6:48,1:37.9,1:42.0,1:47.3,1:55.1,1:57.0
20,6:50,1:38.3,1:42.5,1:47.9,1:55.6,1:57.5
21,6:52,1:38.8,1:43.0,1:48.4,1:56.2,1:58.1
22,6:54,1:39.3,1:43.5,1:48.9,1:56.7,1:58.6
23,6:56,1:39.8,1:44.0,1:49.4,1:57.2,1:59.1
24,6:58,1:40.3,1:44.5,1:50.0,1:57.8,1:59.7
25,7:00,1:40.7,1:45.0,1:50.5,1:58.3,2:00.2
26,7:02,1:41.2,1:45.5,1:51.0,1:58.8,2:00.8
27,7:04,1:41.7,1:46.0,1:51.5,1:59.4,2:01.3
28,7:06,1:42.2,1:46.5,1:52.1,1:59.9,2:01.8
29,7:08,1:42.7,1:47.0,1:52.6,2:00.4,2:02.4
30,7:10,1:43.1,1:47.5,1:53.1,2:01.0,2:02.9
31,7:12,1:43.6,1:48.0,1:53.6,2:01.5,2:03.5
32,7:14,1:44.1,1:48.5,1:54.2,2:02.0,2:04.0
33,7:16,1:44.6,1:49.0,1:54.7,2:02.6,2:04.5
34,7:18,1:45.1,1:49.5,1:55.2,2:03.1,2:05.1
35,7:20,1:45.5,1:50.0,1:55.7,2:03.6,2:05.6
36,7:22,1:46.0,1:50.5,1:56.3,2:04.2,2:06.2
37,7:24,1:46.5,1:51.0,1:56.8,2:04.7,2:06.7
38,7:26,1:47.0,1:51.5,1:57.3,2:05.2,2:07.2
39,7:28,1:47.5,1:52.0,1:57.8,2:05.7,2:07.8
40,7:30,1:47.9,1:52.5,1:58.4,2:06.3,2:08.3
41,7:32,1:48.4,1:53.0,1:58.9,2:06.8,2:08.8
42,7:34,1:48.9,1:53.5,1:59.4,2:07.3,2:09.4
43,7:36,1:49.4,1:54.0,1:60.0,2:07.9,2:09.9
44,7:38,1:49.9,1:54.5,2:00.5,2:08.4,2:10.5
